temperature,mass_ratio,pH,methanol,hexane,process_time,stiring,batch_number,mass_ratio2,pH2,oil_yield_new
20.15522746,2.565876199,4.779323196,0.281506249,0.293442628,49.78834878,1055.938794,1,6.583720667,22.84193021,1
17.10825344,3.081537727,5.339269181,0.229419604,0.148507643,47.10314719,903.9600917,1,9.495874761,28.50779539,1
17.32180191,3.102374949,4.296654192,0.282468204,0.140143314,48.75096461,1055.750616,1,9.624730324,18.46123725,1
20.61778606,3.218718027,4.750078822,0.226113457,0.101540875,43.90240377,920.6619644,1,10.36014574,22.56324882,1
17.76389347,3.191482865,5.393511084,0.169644896,0.068688112,41.46243232,1015.033602,1,10.18556288,29.08996181,1
17.94587374,3.126959683,4.306330586,0.261978416,0.290787867,48.94985393,1067.253506,1,9.777876861,18.54448312,1
17.70300356,3.326623518,4.521733601,0.219994223,0.02629666,37.7193577,1014.327413,1,11.06642403,20.44607476,1
21.9959389,3.157339954,5.148399211,0.184677431,0.289706468,48.27985364,935.775292,1,9.968795587,26.50601444,0
21.79116536,2.663453202,4.760324837,0.232580776,0.033422516,43.24441553,1056.349064,1,7.09398296,22.66069256,1
19.11972472,3.227686535,4.814093419,0.279078996,0.168194752,36.82205859,1090.010548,1,10.41796037,23.17549545,0
19.4977532,2.839747699,5.275739969,0.26388802,0.032739263,45.50605491,976.190849,1,8.064166994,27.83343222,1
19.92946156,3.01487029,4.740690553,0.295892855,0.155319341,40.52839401,1075.543288,1,9.089442865,22.47414692,1
20.03835985,2.729542746,4.525334325,0.231256318,0.005506494,45.02750732,918.685484,1,7.450403603,20.47865075,1
18.91283605,3.311787684,4.307435976,0.238890755,0.00428646,36.58225753,974.1434554,1,10.96793766,18.55400468,1
19.33285136,2.767493114,4.233837053,0.299688272,0.107507303,46.69366,1038.722246,1,7.659018135,17.92537619,1
18.5316232,2.790611351,4.57601824,0.182465055,0.129062071,45.43727188,957.2132109,1,7.787511711,20.93994294,1
18.97505155,2.950994361,4.287141321,0.260529608,0.20966137,43.53970116,1031.044875,1,8.708367719,18.37958071,1
18.86761934,3.426442336,5.441371745,0.254508791,0.179746904,45.0185936,937.0881325,1,11.74050708,29.60852647,1
17.08092171,2.901160027,4.364413186,0.253846145,0.19148238,42.74344869,1003.481792,1,8.4167295,19.04810246,0
17.72111705,2.929230995,4.145147352,0.193474118,0.171865029,41.07867129,931.9951792,1,8.58039422,17.18224657,1
21.57805541,3.491907674,4.288290034,0.207672066,0.033654589,42.83029618,986.0949516,1,12.19341921,18.38943142,1
21.33744769,2.999741315,4.223674264,0.22280523,0.244601237,47.3140681,970.2886391,1,8.998447956,17.83942429,1
18.70457708,2.620053493,4.870859338,0.284818353,0.146204893,42.61131142,1073.76994,1,6.864680309,23.72527069,1
